filename,root_family,role,visual_target,fit_mode,crop_rule,github_path,direct_https_url
01_arcus_analogy.png,Arcus / Arcuate,analogy,bow / arch,contain,Keep the complete bow/arch and complete anatomical curve visible.,assets/01_arcus_analogy.png,
01_arcus_anatomy.png,Arcus / Arcuate,anatomy,arcuate anatomical example,contain,Keep the complete bow/arch and complete anatomical curve visible.,assets/01_arcus_anatomy.png,
02_sagitta_analogy.png,Sagitta / Sagittal,analogy,arrow,contain,Use superior skull view; keep the midline sagittal suture visible front-to-back.,assets/02_sagitta_analogy.png,
02_sagitta_anatomy.png,Sagitta / Sagittal,anatomy,superior skull / sagittal suture,contain,Use superior skull view; keep the midline sagittal suture visible front-to-back.,assets/02_sagitta_anatomy.png,
03_falx_analogy.png,Falx / Falciform,analogy,sickle,contain,Falx must be clearly visible between hemispheres; never crop away the crescent fold.,assets/03_falx_analogy.png,
03_falx_anatomy.png,Falx / Falciform,anatomy,falx cerebri,contain,Falx must be clearly visible between hemispheres; never crop away the crescent fold.,assets/03_falx_anatomy.png,
04_trochlea_analogy.png,Trochlea / Trochlear,analogy,pulley,contain,Keep whole pulley/groove and enough anatomical context.,assets/04_trochlea_analogy.png,
04_trochlea_anatomy.png,Trochlea / Trochlear,anatomy,anatomical trochlea,contain,Keep whole pulley/groove and enough anatomical context.,assets/04_trochlea_anatomy.png,
05_serra_analogy.png,Serra / Serratus,analogy,saw,contain,Saw teeth and serratus slips must both be clearly visible.,assets/05_serra_analogy.png,
05_serra_anatomy.png,Serra / Serratus,anatomy,serratus anterior,contain,Saw teeth and serratus slips must both be clearly visible.,assets/05_serra_anatomy.png,
06_malleus_analogy.png,Malleus / Malleolus,analogy,hammer,contain,Show full hammer and clearly identifiable malleus; malleolus stays in same family.,assets/06_malleus_analogy.png,
06_malleus_anatomy.png,Malleus / Malleolus,anatomy,malleus ossicle,contain,Show full hammer and clearly identifiable malleus; malleolus stays in same family.,assets/06_malleus_anatomy.png,
07_incus_analogy.png,Incus,analogy,anvil,contain,Show full anvil and isolated/highlighted incus.,assets/07_incus_analogy.png,
07_incus_anatomy.png,Incus,anatomy,incus ossicle,contain,Show full anvil and isolated/highlighted incus.,assets/07_incus_anatomy.png,
08_stapes_analogy.png,Stapes / Stapedius,analogy,stirrup,contain,Show full stirrup and visible stapes including crura/footplate.,assets/08_stapes_analogy.png,
08_stapes_anatomy.png,Stapes / Stapedius,anatomy,stapes ossicle,contain,Show full stirrup and visible stapes including crura/footplate.,assets/08_stapes_anatomy.png,
09_stylos_analogy.png,Stylos / Styloid,analogy,stylus / pointed pillar,contain,Show full stylus and clearly visible pointed styloid process.,assets/09_stylos_analogy.png,
09_stylos_anatomy.png,Stylos / Styloid,anatomy,styloid process,contain,Show full stylus and clearly visible pointed styloid process.,assets/09_stylos_anatomy.png,
10_vomer_analogy.png,Vomer,analogy,plowshare,contain,Preserve enough nasal septum/skull context while keeping vomer prominent.,assets/10_vomer_analogy.png,
10_vomer_anatomy.png,Vomer,anatomy,vomer bone,contain,Preserve enough nasal septum/skull context while keeping vomer prominent.,assets/10_vomer_anatomy.png,
11_xiphos_analogy.png,Xiphos / Xiphoid,analogy,short sword,contain,Show full sword and sternum with xiphoid process clearly highlighted.,assets/11_xiphos_analogy.png,
11_xiphos_anatomy.png,Xiphos / Xiphoid,anatomy,xiphoid process,contain,Show full sword and sternum with xiphoid process clearly highlighted.,assets/11_xiphos_anatomy.png,
12_clavis_analogy.png,Clavis / Clavicula / Clavicle,analogy,ancient key,contain,Show full key and full clavicle with both ends and S-curve visible.,assets/12_clavis_analogy.png,
12_clavis_anatomy.png,Clavis / Clavicula / Clavicle,anatomy,complete clavicle,contain,Show full key and full clavicle with both ends and S-curve visible.,assets/12_clavis_anatomy.png,
