order,root_family,root_meaning,anatomy_target,locked_view,anatomy_method,anatomy_status,analogy_target,analogy_status,anatomy_path,analogy_path,qa_notes
01,Coracoid,"raven/crow; beak-like","coracoid process of scapula","isolated scapula; anterosuperior or superior-oblique","reference-guided anatomy asset",MISSING,"raven/crow beak",MISSING,"assets/zoo/01_coracoid_anatomy.png","assets/zoo/01_coracoid_analogy.png","Do not exaggerate anatomy into a literal beak."
02,Hippocampus,seahorse,"hippocampal formation","isolated 3D oblique","high-QA reference-guided anatomy asset",MISSING,seahorse,MISSING,"assets/zoo/02_hippocampus_anatomy.png","assets/zoo/02_hippocampus_analogy.png","Preserve the natural sweeping hippocampal curve; no animalized anatomy."
03,Vermis,worm,"cerebellar vermis","posterior or postero-inferior isolated cerebellum","reference-guided anatomy asset",MISSING,worm,MISSING,"assets/zoo/03_vermis_anatomy.png","assets/zoo/03_vermis_analogy.png","Show external midline vermis with realistic folia."
04,Cochlea,"snail / spiral shell","cochlea within bony labyrinth","isolated bony labyrinth; 3D oblique","reference-guided anatomy asset",MISSING,"snail / spiral shell",MISSING,"assets/zoo/04_cochlea_anatomy.png","assets/zoo/04_cochlea_analogy.png","Keep semicircular canals for context; highlight cochlea only."
05,Cauda equina,"horse tail","cauda equina below conus medullaris","posterior lower cord + lumbosacral roots","high-QA reference-guided anatomy asset",MISSING,"horse tail",MISSING,"assets/zoo/05_cauda_equina_anatomy.png","assets/zoo/05_cauda_equina_analogy.png","Roots must be organized descending nerve roots, not spaghetti-like."
06,Ala,wing,"nasal alae","anterior-inferior close external nose","reference-guided anatomy asset",MISSING,wing,MISSING,"assets/zoo/06_ala_anatomy.png","assets/zoo/06_ala_analogy.png","Highlight nasal alae only."
07,Concha,shell,"auricular concha","lateral close external ear","reference-guided anatomy asset",MISSING,shell,MISSING,"assets/zoo/07_concha_anatomy.png","assets/zoo/07_concha_analogy.png","Central concave bowl leading toward external acoustic meatus."
08,Cornu,horn,"greater and lesser cornua of hyoid","isolated hyoid; anterior-oblique","reference-guided anatomy asset",MISSING,horn,MISSING,"assets/zoo/08_cornu_anatomy.png","assets/zoo/08_cornu_analogy.png","Greater and lesser horns must remain distinct."
09,Arachnoid,"spider / web-like","arachnoid mater / subarachnoid trabecular concept","controlled meningeal view","MANUAL_REFERENCE_VECTOR",MISSING,"spider web",MISSING,"assets/zoo/09_arachnoid_anatomy.png","assets/zoo/09_arachnoid_analogy.png","Do not use literal web as anatomy; manual/reference/vector anatomy first."
10,Pes anserinus,"goose foot","sartorius + gracilis + semitendinosus insertions","anteromedial knee and proximal tibia","high-QA reference-guided anatomy asset",MISSING,"goose foot",MISSING,"assets/zoo/10_pes_anserinus_anatomy.png","assets/zoo/10_pes_anserinus_analogy.png","Three tendons must be anatomically distinct before insertion."
